source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
 danh từ|- <thgt>(như one) một,The name is RlT- <i>(like one) one.,un,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(vt của have),(vt of have),ve,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
hình thái ở một số danh từ gốc động từ; tính từ chỉ :hoạt động kết quả hoạt động :|- growth|- sự phát triển;|- tilth|- sự trồng trọt;|- tình trạng hoặc phẩm chất :|- health|- sức khoẻ;|- youth|- tuổi trẻ;|- (hay eth) h,The form of certain names is derived from the same verb; the word word only: the result of activity: Frequent-growth Dyson; the rise of tilth-fitts; the state-of-the-arts-health-helth-good; the young-youth-youth-young; MlT-e-e-e-e-hh-h-hh-hh-eh-e-e-eh-e-eh-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-p-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e.,-th,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
hình thái ghép tạo tính từ|- có lông kiểu nào đấy|= peritrichous|+ có vành lông rung,It's a structure made from the DNC -- it's a feather -- it's a pertrichy plus it's a ring.,-trichous,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
hậu tố tạo danh từ có nghĩa|- ống chân không|- magnetron|- manhêtron|- biện pháp xử lý các hạt trong nguyên tử|- cyclotron|- xiclotron,"Sincerely creating the name, it means Centipedetron Fresno-Grotron-egentron, treat the particles in the CSC-Cylotron Cylinders-chortron.",-tron,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
hình thái ghép có nghĩa|- chất kích thích|= gonadotrophin hocmon|+ kích thích tuyến sinh dục,It's made up of something that means it's called gonadrotrotrotrominothropytropic. It's a sexual stimulator.,-trophin,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) quan hệ 1 đối 1,(tech) One-to-one relationship.,1 to 1 relationship,8.116697886877475,0.4444444444444445,0.0,0.4444444444444445,0.11904761904761905,"{'rouge1': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445)}"
(tech) quan hệ 1 đối nhiều,(tech) A lot of relationships.,1 to many relationship,0.0,0.22222222222222224,0.0,0.22222222222222224,0.11363636363636363,"{'rouge1': Score(precision=0.2, recall=0.25, fmeasure=0.22222222222222224), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.25, fmeasure=0.22222222222222224)}"
(tech) ký tự 1 bai,(tech) Sign yourself.,1-byte character,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) mã ký tự 1 bai,(tech) Code 1 775.,1-byte character code,6.567274736060395,0.5,0.0,0.25,0.14705882352941177,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.25, fmeasure=0.25)}"
(tech) bộ ký tự 1 bai,(tech) Character 1-bye.,1-byte character set,11.044795567078939,0.5,0.0,0.25,0.15151515151515152,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.25, fmeasure=0.25)}"
(tech) chuỗi ký tự 1 bai,(tech) Rule number 1-bye.,1-byte character string,9.535414040914189,0.22222222222222224,0.0,0.22222222222222224,0.0,"{'rouge1': Score(precision=0.2, recall=0.25, fmeasure=0.22222222222222224), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.25, fmeasure=0.22222222222222224)}"
(tech) thiết bị 2 chiều/thu phát,(tech) 2-way sharp.,2-way device,20.556680845025987,0.5714285714285715,0.4,0.5714285714285715,0.20833333333333334,"{'rouge1': Score(precision=0.5, recall=0.6666666666666666, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rougeL': Score(precision=0.5, recall=0.6666666666666666, fmeasure=0.5714285714285715)}"
(tech) mô đun hai chiều,(tech) Two-dimensional module,2d module = two-dimensional module,10.682175159905853,0.6666666666666665,0.5714285714285715,0.6666666666666665,0.37500000000000006,"{'rouge1': Score(precision=0.75, recall=0.6, fmeasure=0.6666666666666665), 'rouge2': Score(precision=0.6666666666666666, recall=0.5, fmeasure=0.5714285714285715), 'rougeL': Score(precision=0.75, recall=0.6, fmeasure=0.6666666666666665)}"
(tech) tính toán 3 chiều,(tech) Let's do three-way calculations.,3d (three dimension) calculation,6.567274736060396,0.36363636363636365,0.0,0.36363636363636365,0.2380952380952381,"{'rouge1': Score(precision=0.2857142857142857, recall=0.5, fmeasure=0.36363636363636365), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=0.5, fmeasure=0.36363636363636365)}"
(tech) ngôn ngữ thế hệ thứ tư,(tech) Fourth-generation language.,4th generation language (4gl),10.682175159905853,0.5,0.3333333333333333,0.5,0.25,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}"
(tech) mã ascii 7 bít,(tech) Code 0-7.,7-bit ascii code,6.567274736060396,0.5,0.0,0.25,0.15151515151515152,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.25, fmeasure=0.25)}"
(tech) bộ mã ascii 7 bít,(tech) The 7-inch code.,7-bit ascii code set,10.552670315936318,0.4000000000000001,0.0,0.4000000000000001,0.11627906976744187,"{'rouge1': Score(precision=0.4, recall=0.4, fmeasure=0.4000000000000001), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.4, fmeasure=0.4000000000000001)}"
(tech) ký tự 8 bít,(tech) 8-inch signature.,8-bit character,11.044795567078939,0.28571428571428575,0.0,0.28571428571428575,0.0,"{'rouge1': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575)}"
(tech) mã ký tự 8 bít,It's an eight-inch code.,8-bit character code,10.682175159905853,0.2,0.0,0.2,0.15151515151515152,"{'rouge1': Score(precision=0.16666666666666666, recall=0.25, fmeasure=0.2), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.25, fmeasure=0.2)}"
(tech) bộ ký tự 8 bít,(tech) Eight-inch signature.,8-bit character set,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) chuỗi ký tự 8 bít,(tech) Eight-inch alphabet.,8-bit character string,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) bộ vi xử lý 8 bít,(tech) Eight-inch processor.,8-bit microprocessor,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) máy điện toán cá nhân 8 bít,(tech) Eight-inch personal computer.,8-bit personal computer,13.134549472120794,0.4444444444444445,0.28571428571428575,0.4444444444444445,0.5514705882352942,"{'rouge1': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575), 'rougeL': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445)}"
(tech) cổng a loại trừ b,(tech) A type minus b.,a except b gate,5.522397783539471,0.4444444444444445,0.0,0.4444444444444445,0.22727272727272727,"{'rouge1': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445)}"
(tech) cổng a không biết b,(tech) She doesn't know.,a ignore b gate,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) cổng a bao hàm b,(tech) neck a embraces b,a implies b gate,7.809849842300641,0.4444444444444445,0.0,0.4444444444444445,0.23255813953488375,"{'rouge1': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445)}"
(econ) cổ phiếu a.(cổ phiếu hưởng lãi sau).|+ xem financial capital.,(econ) She's a pain in the ass.,a shares,4.196114906296549,0.2,0.0,0.2,0.1724137931034483,"{'rouge1': Score(precision=0.125, recall=0.5, fmeasure=0.2), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.5, fmeasure=0.2)}"
  danh từ|- bom nguyên tử,It's a nuclear bomb.,a-bomb [eibɔm],0.0,0.4444444444444445,0.0,0.4444444444444445,0.0,"{'rouge1': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.5, fmeasure=0.4444444444444445)}"
#- (tech) đổi  dạng sóng (dạng tương tự) sang dạng số,# - (tech) Change wave form (regular) into digital form,a-d = a [d = a-d (analog-to-digital)],3.377156414337854,0.11764705882352941,0.0,0.11764705882352941,0.08849557522123894,"{'rouge1': Score(precision=0.125, recall=0.1111111111111111, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.1111111111111111, fmeasure=0.11764705882352941)}"
(tech) đổi sóng (tương tự) - số,(tech) Change waves (regular),a-d conversion,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) mạch đổi sóng-số,(tech) Symphony exchange circuit.,a-d converter circuit,6.567274736060395,0.25,0.0,0.25,0.14705882352941177,"{'rouge1': Score(precision=0.25, recall=0.25, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.25, fmeasure=0.25)}"
 danh từ|- apartheid,The name is Veritas-Apartheid.,a-pac-thai,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(giải tích) a- điểm,(explosion) A-dot,a-point,0.0,0.4,0.0,0.4,0.0,"{'rouge1': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4)}"
  danh từ|- năng lượng nguyên tử|- cường quốc nguyên tử,It's called the Veritas -- nuclear energy -- nuclear energy.,a-power [eipauə],0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- mặt chính của dĩa hát,The main side of the record.,a-side,0.0,0.25,0.0,0.25,0.0,"{'rouge1': Score(precision=0.16666666666666666, recall=0.5, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.5, fmeasure=0.25)}"
  (viết tắt) của ano domin|- sau công nguyên|=1540 a.d.|+ năm 1540 sau công nguyên,(Created) Ano domin (2006)-after C.E.=1540 a.d. (2003)+1540 A.D.,a.d. [eidi:],8.359764098433711,0.23529411764705882,0.13333333333333336,0.23529411764705882,0.08064516129032258,"{'rouge1': Score(precision=0.14285714285714285, recall=0.6666666666666666, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.07692307692307693, recall=0.5, fmeasure=0.13333333333333336), 'rougeL': Score(precision=0.14285714285714285, recall=0.6666666666666666, fmeasure=0.23529411764705882)}"
(vt của aide-de-camp) sự quan phụ tá,I'm an assistant.,a.d.c,12.44023474812678,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
  phó từ|- (xem) ante_meridiem,V from KTTS- (see) ante_meridiem,a.m. [eiem],0.0,0.0,0.0,0.0,0.11627906976744187,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) khổ giấy a4 (21 cm x 29.7 cm),(tech) Damn a4 (21 cm x 29.7 cm),a4-size,3.3864985683445354,0.1818181818181818,0.0,0.1818181818181818,0.0,"{'rouge1': Score(precision=0.1111111111111111, recall=0.5, fmeasure=0.1818181818181818), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.5, fmeasure=0.1818181818181818)}"
(alcoholics anonymous) hội cai rượu|- (automobile association) hội ô tô,(alcoholics anonymous) Car crew.,aa,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(amateur athletic association) hội thể thao không chuyên|- (american automobile association) hiệp hội xe hơi mỹ,(amateur athletic assocication) The unprofessional sports group - (american automotive) for American cars.,aaa,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- (động vật) lợn đất,It's called the D.N.S. (F.A.),aardvark,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- <động> chó sói đất (nam phi),It's called Verbis- <i>Helicon.</i>,aardwolf,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
  danh từ|- (động vật học) con kên kên (nam phi),"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no., no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no",aasvogel [ɑ:sfougəl],0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(vt của able-bodied seaman) thủy thủ hạng nhất|- (vt của bachelor of arts) cử nhân văn chương,(vt of able-bodied seaman) first-class seaman - (vt of bachelor of arts) literary door,ab,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
  danh từ|- áo aba (áo ngoài giống hình cái túi người a-rập),It's called a-ba-shirt.,aba [ɑ:bə],0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- vải dệt bằng tơ chuối abaca ở philipin|- cây chuối abaca,Namely from the ibuprofen-scared la i-abaca rat in the philipin Kagome-a-baca rat.,abaca,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,"{'rouge1': Score(precision=0.0625, recall=1.0, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=1.0, fmeasure=0.11764705882352941)}"
 danh từ|- người gãy bàn phím|- người kế toán,It's from ibuprofen -- the guy who broke the DHS key -- the accountant.,abacist,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 tính từ|- không do vi khuẩn gây ra,Compute from ibuprofen -- it's not the virus that caused it.,abacterial,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- (từ pháp) việc gia súc bị bắt trộm,From the D.N.R.A. -- the arrest of cattle.,abaction,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 tính từ|- bị trụy thai,It's from the DHS -- abortion.,abactus,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 ngoại động từ|- nhường lại tài sản,The exception is from the U.S.R.-like re-investance of property.,abalienate,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- sự nhường lại tài sản,It's a name from the U.S.R.- It's a re-investigration of property.,abalienation,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(tech) gọi bỏ,(tech) Call out.,abandon call,0.0,0.4,0.0,0.4,0.20833333333333334,"{'rouge1': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4)}"
  danh từ|- (pháp lý) người rút đơn,Allegedly from the M.R.I.E.R.R.R.R.R.D.,abandoner [əbændənə],0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 tính từ|- (sinh học) xa đỉnh; xa ngọn|- dưới vực,Far from the top; far from the top.,abapikal,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 tính từ|- (giải phẫu) học ngoài khớp; trật khớp,Compute from iTunes- (interprets) study outside the box; play,abarticular,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(econ) chi phí kiểm soát; chi phí chống (ô nhiễm)|+ chi phí làm giảm sự khó chịu như ô nhiễm hay tắc đường.,"(econ) cost of control; cost of freeing (moderation) Absolute + cost of reducing discomfort, such as carousel or showering.",abatement cost,1.4445809981770859,0.09999999999999999,0.0,0.09999999999999999,0.11363636363636366,"{'rouge1': Score(precision=0.05555555555555555, recall=0.5, fmeasure=0.09999999999999999), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05555555555555555, recall=0.5, fmeasure=0.09999999999999999)}"
