source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor
"Tôi xin lỗi, tôi đang đi tìm cô ấy.","I'm sorry, I'm looking for her.",I'm sorry. I came upon her.,15.619699684601276,0.6666666666666666,0.4615384615384615,0.6666666666666666,0.46855921855921845
Cả cánh tay ông ấy đều đau đớn.,His whole arm hurts.,It hurts all the way into his hand.,5.7079690340587526,0.3333333333333333,0.0,0.16666666666666666,0.23255813953488372
Tết Mậu Thân - 1968,"Celebrity New Year, 1968",[ Machine Gun Fire ],0.0,0.0,0.0,0.0,0.0
tôi có.,"Yes, I do.","Oh, I did.",23.643540225079395,0.3333333333333333,0.0,0.3333333333333333,0.5111111111111111
Scully.,Scully.,"- Listen, you see anything weird, anything out of the box, you just call me. Whatever you say, Scully.",0.0010130093598630715,0.10526315789473684,0.0,0.10526315789473684,0.08259911894273128
Hãy để lại lời nhắn!,Leave a message!,Leave a message.,59.460355750136046,1.0,1.0,1.0,0.7361111111111112
Rời đây thôi.,Let's go.,We leave now.,19.716118825581447,0.0,0.0,0.0,0.125
Đồ quỷ xứ.,You son of a bitch.,You're a devil.,9.652434877402245,0.4444444444444445,0.0,0.4444444444444445,0.29411764705882354
Cho tới khi nào hai mẹ con ta chưa chia lìa... thì nơi đâu cũng là nhà.,As long as we don't split up... we'll be home everywhere.,"As long as we are together, anywhere is our home.",18.20705281109213,0.4347826086956522,0.28571428571428575,0.4347826086956522,0.41553748870822044
Bà hiểu?,You understand?,You do?,34.66806371753173,0.5,0.0,0.5,0.3333333333333333
Ngay dưới này.,Right down here.,Right down here.,100.00000000000004,1.0,1.0,1.0,0.9921875
Anh bị thương thế nào?,How'd you get hurt?,What's your wound?,10.682175159905853,0.0,0.0,0.0,0.36764705882352944
Xong.,Done.,Done.,100.00000000000004,1.0,0.0,1.0,0.9375
Có kẻ đã mật báo.,Someone called it in.,Someone had tipped them off.,10.40059768900531,0.22222222222222224,0.0,0.22222222222222224,0.1694915254237288
"Người mà bọn cô tìm là, uh, giống như bố cháu.","The guy we're looking for is, uh, just like your dad.","THE MAN WE'RE LOOKING FOR IS, UH, JUST LIKE YOUR DAD.",3.737437943747671,0.9166666666666666,0.8181818181818182,0.9166666666666666,0.9319727891156462
Tôi có thể giúp gì cho ông?,Can I help you?,What can I do for you?,15.84873897212071,0.6,0.25,0.6,0.551470588235294
Nó là về con gái tôi.,It's about my daughter.,It's about her.,23.643540225079395,0.6666666666666665,0.5714285714285715,0.6666666666666665,0.7352941176470589
- Ảnh dễ thương.,- He's cute.,- He's cute.,100.00000000000004,1.0,1.0,1.0,0.996
- Máy vi tính,- Computer.,- Computer.,100.00000000000004,1.0,0.0,1.0,0.9814814814814815
Toruk Makto rất hùng mạnh.,Toruk Makto is powerful.,Toruk Makto was mighty.,23.643540225079395,0.5,0.3333333333333333,0.5,0.5111111111111111
Thằng khốn!,You son of a bitch!,You bitch!,17.965205598154213,0.5714285714285715,0.0,0.5714285714285715,0.7744107744107744
Lên nào.,Come on.,Come on.,100.00000000000004,1.0,1.0,1.0,0.9814814814814815
Tôi... yêu cô.,I... love you.,I... love you.,100.00000000000004,1.0,1.0,1.0,0.996
"Trong lúc đó, cuộc biểu tình ôn hòa của ca sĩ nhạc pop Linh Dương đã bị vấp phải sự phản đối.","In the meantime, the peace demonstration by pop player Giangang has stumbled over the objection.","Meanwhile, a peace rally organized by pop star Gazelle... was marred by protest.",5.422832877388758,0.21428571428571427,0.07692307692307691,0.21428571428571427,0.15527950310559008
"Nè, anh lính.","Hey, soldier.","Hey, guard.",35.35533905932737,0.5,0.0,0.5,0.6388888888888888
Giống như tớ đang làm việc trên đồng.,It's like I'm working in a field.,It's like I'm working in the field.,59.460355750136046,0.8888888888888888,0.75,0.8888888888888888,0.8950617283950617
Tôi cũng sẽ làm tương tự để bảo vệ lính của mình.,I'd do the same thing to protect my men.,I'd do the same thing to protect my Marines.,78.25422900366438,0.9,0.8888888888888888,0.9,0.9054545454545455
Ông đã từng nói rằng... tâm lý thị trường không còn chỗ cho những người nghèo ở nước Mỹ nữa.,You once said that there's no room for the poor in America.,You once said that the market mentality would no longer keep the American people stunted.,17.658800420844404,0.42857142857142855,0.23076923076923075,0.42857142857142855,0.40170498579178504
Loại không cafein đi.,It's a non-verbal.,"Decaf, I think.",12.44023474812678,0.0,0.0,0.0,0.10000000000000002
Tôi nhớ cả hai người.,I miss you both.,I miss you both.,100.00000000000004,1.0,1.0,1.0,0.996
- Mẹ.,- Mom.,- Mom.,100.00000000000004,1.0,0.0,1.0,0.9814814814814815
"Chắc chắc sẽ có vài đội chiến thuật đặc biệt, dạng như SWAT đánh thuê.","There'll probably be some special tactical teams, like the SWAT mercenaries.",Definitely some private tactical teams. Some kind of rent-a-SWAT.,7.347053125977879,0.34782608695652173,0.09523809523809525,0.34782608695652173,0.2793141592920354
NtEd,NtEd,NtEd,100.00000000000004,1.0,0.0,1.0,0.5
"Có 2 hoặc 3 cứu thương ra giúp chúng tôi, nhưng rồi họ cũng bị thương.","There were two or three medics out there to help us, but they got hurt.",And we called in two or three medevacs... and they got hit.,11.203754340102181,0.3703703703703704,0.23999999999999996,0.3703703703703704,0.3933566433566433
Tôi không thể tin hắn bỏ con gái mình để bảo vệ đồng bọn.,I can't believe he left his daughter to protect his friends.,I CAN'T BELIEVE HE SOLD OUT HIS DAUGHTER TO PROTECT HIS PARTNER.,3.7052472057637615,0.8,0.6956521739130435,0.8,0.7833402699328141
Con không có chọn nàng ta.,You didn't choose her.,I did not pick her out.,8.515289178380433,0.1818181818181818,0.0,0.1818181818181818,0.21739130434782605
"Ồ, tôi đã hiểu được nhiều.","Oh, I understand a lot.","Oh, I've learned all right.",14.535768424205482,0.3636363636363636,0.22222222222222224,0.3636363636363636,0.4746835443037974
Nó đã không ngăn anh viết ra.,It didn't stop you from writing.,It didn't stop you from writing it.,72.89545183625967,0.9333333333333333,0.923076923076923,0.9333333333333333,0.8751755617977527
Nhanh nào.,Come on.,Come on.,100.00000000000004,1.0,1.0,1.0,0.9814814814814815
Cuộc sống của em dễ thương thật đấy.,Your life is so cute.,Your life is adorable.,32.46679154750989,0.6666666666666665,0.5714285714285715,0.6666666666666665,0.7352941176470589
Không gì điên loạn lắm đâu,It's not that crazy.,"- Oh, just a little jaunt. Nothing too wild.",2.6341919627252284,0.0,0.0,0.0,0.043859649122807015
"Ý tôi không phải là vui, nhưng cũng không phiền.","I don't mean to be funny, but I don't mind.","I don't mean pleasure, I mean I didn't mind.",17.242221289766626,0.6086956521739131,0.380952380952381,0.6086956521739131,0.5253981717086043
Anh sẽ không đi đâu hết.,You're not going anywhere.,You ain't going nowhere.,12.70331870386537,0.4000000000000001,0.0,0.4000000000000001,0.25
Sẵn sàng.,Ready.,Ready.,100.00000000000004,1.0,0.0,1.0,0.9375
- Cậu thích chứ?,- You like it?,- You like?,42.7287006396234,0.8,0.6666666666666666,0.8,0.9146341463414633
"Khá là sớm đó, nếu so sánh với các đứa trẻ khác ở Ukraine.","Pretty soon, compared to other children in Ukraine.","Early, compared with other kids in Ukraine.",20.556680845025987,0.5333333333333333,0.15384615384615383,0.5333333333333333,0.7602601480152501
"Cậu ổn chứ, lính mới?","You all right, Greenie?","You all right there, Private?",29.05925408079185,0.6666666666666665,0.5714285714285715,0.6666666666666665,0.6463768115942029
Giống như là lần đầu lũ khỉ biết dùng công cụ vậy.,It's like the first time the monkeys knew how to use tools.,It's like watching monkeys use tools for the first time. You still pissed about me and Cadence?,11.343450973594283,0.5806451612903226,0.3448275862068966,0.3870967741935484,0.4597938144329897
- Andre.,- Andre.,- Andre.,100.00000000000004,1.0,0.0,1.0,0.9814814814814815
- Cái này nhắc anh nhớ tới ai?,- Who does this remind you of?,-Who's this remind you of?,51.69731539571708,0.8333333333333334,0.6,0.8333333333333334,0.7014084507042254
Họ đã đánh tiếng trong khu phố rồi.,They've spoken in the neighborhood.,They got the word out in the neighborhood.,30.819809095981185,0.5714285714285715,0.3333333333333333,0.5714285714285715,0.5499999999999999
Người phụ nữ từ Ubient.,The woman from Ubient.,That woman from Ubient.,66.87403049764218,0.75,0.6666666666666666,0.75,0.7937500000000002
Bố cần tối thiểu 1 dặm.,I need at least a mile.,I need at least a mile.,100.00000000000004,1.0,1.0,1.0,0.9985422740524781
"Sợ anh rồi, em khai!","I'm scared of you, I'm talking!",I'll take you!,6.567274736060396,0.3333333333333333,0.0,0.3333333333333333,0.2727272727272727
- Nặng.,- Heavy.,It's heavy.,27.516060407455225,0.5,0.0,0.5,0.48076923076923084
Người TukTuk di chuyển như những con chim và che giấu đôi mắt sau những cây rừng.,The TukTuks moved like birds and hid their eyes behind the trees.,The Tutt Tutt who move like big running birds and hide their eyes behind trees.,14.287853938784258,0.6666666666666665,0.32,0.6666666666666665,0.6837921777122704
Thằng nhỏ không được tới gần cô ta cho tới khi cô ả ẩm ướt như con hải cẩu con.,The boy mustn't come near her until she's wet like a baby seal.,Your cock shouldn't go near her till she's slick as a baby seal.,21.97281387499716,0.5333333333333333,0.2857142857142857,0.5333333333333333,0.5378086419753086
Hỏa Quốc đấy!,It's the Fire Nation!,Fire Nation!,39.76353643835254,0.5714285714285715,0.4,0.5714285714285715,0.8922558922558923
Với những kiến thức tuyệt mật.,With classified knowledge.,With the top secret knowledge.,21.444097124017667,0.5,0.0,0.5,0.4406130268199233
Dừng chiếc xe lại!,Stop the car!,Stop the car!,100.00000000000004,1.0,1.0,1.0,0.9921875
Bình thường .,It's normal.,Normal.,27.516060407455225,0.5,0.0,0.5,0.8522727272727273
Anh có thể làm gì đây?,What can I do?,-What can I do?,66.87403049764218,1.0,1.0,1.0,0.7937500000000002
Ôi trời.,"Oh, my God.","Oh, dear.",23.643540225079395,0.4,0.0,0.4,0.6233062330623306
"Và thứ hai, động tác mà em đang làm với đôi vai của mình là sao?","And second, what's the move you're doing with your shoulders?",And-and second... What is that thing you're doing with my shoulders?,12.920606398131984,0.64,0.43478260869565216,0.64,0.5357142857142857
Chúng mày nhìn cái gì?,What are you looking at?,Where you looking at?,50.81327481546147,0.6666666666666665,0.5714285714285715,0.6666666666666665,0.778186274509804
- ... không hẳn là cái que trong bùn.,- ...not really a stick in the mud.,What? ...a complete stick deep in the mud.,30.039183588157954,0.6666666666666666,0.30769230769230765,0.6666666666666666,0.582287961055982
Đã làm.,We did.,Already did.,55.03212081491043,0.5,0.0,0.5,0.625
Nhưng tôi đoán vị bác sĩ trước đã có nhờ vả cô ấy chăm sóc kỹ bệnh nhân.,But I guess the previous doctor asked her to take good care of the patient.,But I guess the referring doctor might have asked her to keep an eye on him.,22.149778091377744,0.5161290322580646,0.3448275862068965,0.5161290322580646,0.527810650887574
Huell đây này.,It's Hull.,- This is Huell.,14.127216461522432,0.0,0.0,0.0,0.10204081632653061
Còn sao hội chúng tôi lại được hân hạnh kết nạp anh?,And why would our company be honored to join you?,To what do we owe the pleasure of your company?,4.456882760699064,0.20000000000000004,0.0,0.10000000000000002,0.13636363636363635
Tôi cần nơi nào đó để sống và đã tình cờ đến đây.,I needed somewhere to live and came here by accident.,I needed somewhere to rebuild and I stumbled across this place.,23.708987804092644,0.47619047619047616,0.3157894736842105,0.47619047619047616,0.4295051353874883
Hắn là của tôi...,He's mine...,He's my...,42.7287006396234,0.6666666666666666,0.5,0.6666666666666666,0.6388888888888888
♪ My silly heart goes 'Zoobi doobi zoobi doobi' as it jives and jigs along ♪,"♪ My thoughts go 'Zoobi doobi zoobi doobi' as it jives and""?",My silly heart goes 'Zoobi doobi zoobi doobi' as it jives and jigs along,52.960749334062214,0.7200000000000001,0.608695652173913,0.7200000000000001,0.6639999999999999
Cho người ta biết vài điều về nhà Bailey đấy.,Tell them something about the Baileys.,Gives you an idea of the Baileys.,21.191828141393902,0.30769230769230765,0.1818181818181818,0.30769230769230765,0.3727144866385373
Nó có thể là một sự cân bằng về tổng thể.,It could be a balance.,It can be a much more holistic equation.,11.708995388048026,0.4615384615384615,0.18181818181818182,0.4615384615384615,0.3627873563218391
"Cuối cùng, cô ấy đã nói sự thật cho tôi biết.","Finally, she told me the truth.","Eventually, she told me the truth.",84.08964152537145,0.8333333333333334,0.8000000000000002,0.8333333333333334,0.8737244897959183
Mình là Chase.,I'm Chase.,I'm Chase.,100.00000000000004,1.0,1.0,1.0,0.9921875
Ta đã có bằng chứng rõ ràng chống lại Reiden Global.,We have solid evidence against Reiden Global.,We have solid evidence against Reiden Global.,100.00000000000004,1.0,1.0,1.0,0.9990234375
"Ồ, Cảnh sát trưởng.","Oh, Sheriff.","Oh, Sheriff.",100.00000000000004,1.0,1.0,1.0,0.9921875
Nếu như tôi có thể đặt hắn trước mặt cậu?,What if I could put him in front of you?,What if I could put him in front of you?,100.00000000000004,1.0,1.0,1.0,0.9996243425995492
Chị không thể vào đây.,You can't come in here.,You cannot come back here.,19.304869754804482,0.5454545454545454,0.0,0.5454545454545454,0.4508928571428571
"Ta đã hỏi cô ấy tại sao, nhưng giữa chúng ta lại không có cái mối quan hệ như giữa ta và cô.","I asked her why, but we don't have the kind of relationship that you and I have.","I asked her why, but we didn't have the kind of rapport that you and I have.",68.8836505346656,0.8888888888888888,0.7647058823529412,0.8888888888888888,0.8979166666666667
- Whoa!,- Whoa!,- Whoa!,100.00000000000004,1.0,0.0,1.0,0.9814814814814815
Một năm.,A year.,A year.,100.00000000000004,1.0,1.0,1.0,0.9814814814814815
- đằng sau báo cáo này?,- behind this report?,- behind the report?,30.213753973567677,0.6666666666666666,0.0,0.6666666666666666,0.7500000000000001
Chỉ vài ngày trước.,Just a few days ago.,- just a few days away. - Thank you.,14.11000944252055,0.6666666666666666,0.6,0.6666666666666666,0.46095238095238095
- Tambul!,- Tambul!,- Tambul!,100.00000000000004,1.0,0.0,1.0,0.9814814814814815
"Ừ, đấy là chị Micchan.","Yeah, that's Micchan.","Yep, and her name's Michiko.",8.515289178380433,0.2,0.0,0.2,0.19230769230769232
Không sao.,It's okay.,"Mate, mate, I'm alright.",7.253154775624655,0.0,0.0,0.0,0.24671052631578946
Nếu bà ta không sống sót thì đâu dám to mồm vậy chứ bà đã qua được trò chơi của bà rồi bà ta kiếm 1 mớ tài sản từ câu chuyện của bà ta,"If she hadn't survived, she wouldn't have spoken out like that. You'd have passed your game.","And if those people weren't so fucked up after their games, they'd make a mint selling their stories.",2.2840528494190804,0.20512820512820512,0.0,0.15384615384615385,0.21799628942486085
"Cô còn gọi mình là ""vũ công"" không, Libby?","Do you still call yourself the peacock, Libby?","Are you still calling yourself a ""dancer,"" Libby?",10.753659580649467,0.625,0.42857142857142855,0.625,0.5698720166032515
"Ôi, anh ta sút trượt!","Oh, he missed!","Ooh, he missed it! '",28.64190457979541,0.5714285714285715,0.4,0.5714285714285715,0.551470588235294
Chúng tôi lại chẳng có lấy một cái nào.,We don't have one.,We don't have one.,100.00000000000004,1.0,1.0,1.0,0.9976851851851852
Không ngờ tới à?,You didn't expect it?,You didn't see that coming?,19.357693493908812,0.5454545454545454,0.4444444444444445,0.5454545454545454,0.5434782608695652
"Bà biết bà không thể đặt hết vào lời hứa của ông ta, Jude.","You know you can't put everything into his word, Jude.","You know you can't put stock into his promises, Jude.",46.59538415189962,0.8181818181818182,0.6,0.8181818181818182,0.8375715193897013
Tụi bay chỉ có thế thôi sao ?,Is that all you've got?,Is that the best you can do?,12.872632311973014,0.4615384615384615,0.1818181818181818,0.4615384615384615,0.39952531645569617
"Cút về Địa ngục, cùng với chết chóc của mày!","Go back to hell, with your death!",Demon!,4.767707020457095,0.0,0.0,0.0,0.1851851851851852
Đại sứ quán cử anh đến à?,The embassy sent you?,The embassy sent you?,100.00000000000004,1.0,1.0,1.0,0.996
Yip yip.,Yip yip.,Yip yip. Wow.,51.341711903259224,0.8,0.6666666666666666,0.8,0.5324074074074074
"Cháu trông thế nào với chú hả, chú Jay?","What do I look like to you, Jay?","What do I look like to you, Jay?",100.00000000000004,1.0,1.0,1.0,0.9995
Đừng sợ mà.,Don't be afraid.,Don't be afraid.,100.00000000000004,1.0,1.0,1.0,0.996
Chúng đang cướp ngân hàng ở ngoài kia?,They're robbing the bank out there?,They're out there robbing the bank!,32.17294420803808,1.0,0.6666666666666666,0.7142857142857143,0.840561224489796
"Thư giãn, Brendan, thư giãn!","Relax, Brendan, relax!","Relax, Brendan, relax!",100.00000000000004,1.0,1.0,1.0,0.9976851851851852
Khi nào? Anh chưa biết chính xác.,I don't know exactly yet.,Hand me those cherries.,8.116697886877475,0.0,0.0,0.0,0.09615384615384616
"Có lẽ chúng ta nên xây 1 cái phòng tắm ở ngoài, Hilly.","Maybe we should build a bathroom outside, Hilly.","Maybe we should just build you a bathroom outside, Hilly.",55.313456015212466,0.888888888888889,0.6250000000000001,0.888888888888889,0.8360169491525423
Để em nói hết đã.,Let me finish.,"Well, let me finish.",36.06452879987789,0.8571428571428571,0.8,0.8571428571428571,0.6842672413793103
Nói với tôi đi.,Talk to me.,Say it with me.,24.880469496253564,0.28571428571428575,0.0,0.28571428571428575,0.38265306122448983
♪ Werewolves of London again ♪,♪ Werewolves of London again ♪,♪ werewolves of London again ♪,53.7284965911771,1.0,1.0,1.0,0.9976851851851852
Chính xác không biết có phải là Young Chun hay không mà đã bị đẩy vào đây rồi.,I don't know if Yong-go has been pushed in.,Yong-go got talked into taking the blame!,4.196114906296549,0.2105263157894737,0.11764705882352941,0.2105263157894737,0.06024096385542169
Qaddafi...,Qaddafi...,"Qaddafi,",15.97357760615681,1.0,0.0,1.0,0.25
Làm sao tôi tắt anh được?,How can I turn you off?,How the hell do I turn you off?,48.35447404743731,0.7142857142857143,0.5,0.7142857142857143,0.6691919191919192
- Katniss?,- Katniss?,- Katniss?,100.00000000000004,1.0,0.0,1.0,0.9814814814814815
Khốn thật!,Son of a bitch!,Damn it!,10.682175159905853,0.0,0.0,0.0,0.15625
Tôi nghĩ anh đang tìm tôi.,I think you're looking for me.,I think you're looking for me.,100.00000000000004,1.0,1.0,1.0,0.9990234375
Làm theo tôi nào.,Follow my lead.,Copy me.,15.97357760615681,0.0,0.0,0.0,0.16129032258064518
Cha.,Father.,Father.,100.00000000000004,1.0,0.0,1.0,0.9375
Ăn không?,Want some?,You want some?,39.43223765116288,0.8,0.6666666666666666,0.8,0.754985754985755
Mua bức tranh đi.,Get the painting.,Please take it.,15.97357760615681,0.0,0.0,0.0,0.25
- Rồi đấy.,- There you go.,I am!,0.0,0.0,0.0,0.0,0.0
"Tôi được đào tạo để trở thành một người quản lý, chứ không phải nhân viên điều tra những cái chết bất thường.","I was trained to be a manager, not an investigator who died unusual deaths.","My training is as a manager, not a coroner.",16.188613565728215,0.34782608695652173,0.1904761904761905,0.34782608695652173,0.4444444444444444
Mấy người muốn gì ở chúng tôi?,What do you want from us?,What do you want from us?,100.00000000000004,1.0,1.0,1.0,0.9985422740524781
"Allah yêu những ai làm điều lành, không phải điều dữ.","Allah loves those who do good, not evil.","Allah loves those that do good, not evil.",65.80370064762461,0.875,0.7142857142857143,0.875,0.8950617283950617
Kể từ bây giờ tôi sẽ viết hai lá thư một tuần thay vì một.,From now on I'm going to write two letters a week instead of one.,"From now on, I'll write two letters a week instead of one.",64.75445426291287,0.8571428571428571,0.7692307692307692,0.8571428571428571,0.8556369763705475
Đáng liều mà tin đấy.,That's a lot to believe.,That was like a crazy trust exercise.,6.916271812933183,0.30769230769230765,0.0,0.30769230769230765,0.189873417721519
Các camera của 5 tòa nhà xung quanh văn phòng từ mọi hướng,Cameras of five buildings around the office from all directions.,Our cameras cover five blocks around the office in every direction.,14.473710747837549,0.5714285714285713,0.2105263157894737,0.5714285714285713,0.5333561996227062
Chào cậu!,Hey!,Hey!,100.00000000000004,1.0,0.0,1.0,0.9375
♪ Slowly these events move ahead. ♪,♪ Slowly these events move a head. ♪,"""Slowly these events move ahead.""",31.55984539112945,0.7272727272727272,0.6666666666666665,0.7272727272727272,0.5975308641975308
Tôi đã bảo cậu đừng có đi mà.,I told you not to go.,"Mal, I said drop in anytime, but I didn't mean...",2.490612326425251,0.11764705882352942,0.0,0.11764705882352942,0.03759398496240601
"Em ấy, um...","She's, um...","She, um...",75.98356856515926,0.8,0.0,0.8,0.9146341463414633
Ởđâythờitiếtmỗingàyđềutốt .,It's good to be here every day.,The weather here is nice every day.,22.089591134157878,0.39999999999999997,0.15384615384615383,0.39999999999999997,0.46296296296296297
Những kẻ luôn mong tôi bỏ mạng trên hòn đảo ấy.,The people who expect me to die on that island.,Every last one of them will wish I had died on that island.,17.861896371835492,0.34782608695652173,0.28571428571428575,0.34782608695652173,0.36350364963503656
Được ạ.,Okay.,Sure.,49.99999999999999,0.0,0.0,0.0,0.25
Cô ổn chứ?,Are you okay?,You all right?,15.97357760615681,0.3333333333333333,0.0,0.3333333333333333,0.25
Những điều đó là dối trá.,They're lies.,Those are lies.,39.43223765116288,0.3333333333333333,0.0,0.3333333333333333,0.46875
Elsa?,Elsa?,Elsa...?,15.777684932819515,1.0,0.0,1.0,0.3448275862068965
"Nhanh lên, nhanh lên.","Come on, come on.","Let's go, let's go!",8.116697886877475,0.0,0.0,0.0,0.06410256410256411
Không,"No, no, no.",No.,9.652434877402245,0.5,0.0,0.5,0.78125
"Chúng ta ko ở đây để ngắm nhìn, Wormsley.","We're not here to see, Wormsley.","We're not here for the scenery, Wormsley.",30.509752160562897,0.6666666666666666,0.4615384615384615,0.6666666666666666,0.6988249845392702
- Anh không nhớ saor?,- Don't you remember?,- Don't you remember?,100.00000000000004,1.0,1.0,1.0,0.9976851851851852
Cô thoa son môi.,You're wearing lipstick.,You're wearing lipstick.,100.00000000000004,1.0,1.0,1.0,0.996
Không dễ để hiểu ai đó.,It's not easy to understand someone.,That's too bad. It would've been nice to know one person.,3.3142882018868014,0.3,0.0,0.2,0.13986013986013984
- Tớ chưa từng được thấy nhà các cậu. - Chưa từng có ai thấy nhà họ.,- I've never seen your house.,I've never seen your house.,80.91067115702207,1.0,1.0,1.0,0.9844782983615982
"Tôi thấy là ta nên thế, anh sẽ không ở đây nếu không có chúng tôi.","I think we should, you wouldn't be here without us.","I believe we are, right now, because you wouldn't even be here if it wasn't for us.",6.665529878849228,0.5333333333333333,0.21428571428571427,0.5333333333333333,0.39265402843601893
Tớ xin lỗi.,I'm sorry.,"I'm sorry, man.",32.34325178227722,0.8571428571428571,0.8,0.8571428571428571,0.6465517241379309
Em có biết bộ não đốt cháy bao nhiêu calo không?,Do you know how many calories the brain burns?,And do you know how many calories the brain burns?,79.6358031503278,0.9473684210526316,0.9411764705882353,0.9473684210526316,0.9169724770642201
