source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
I felt I just had to get off the ship.,Tôi cảm thấy mình phải rời khỏi tàu .,tôi cảm thấy tôi phải xuống tàu.,14.25876976452075,0.7333333333333334,0.5,0.6666666666666666,0.6310013717421126,"{'rouge1': Score(precision=0.6875, recall=0.7857142857142857, fmeasure=0.7333333333333334), 'rouge2': Score(precision=0.4666666666666667, recall=0.5384615384615384, fmeasure=0.5), 'rougeL': Score(precision=0.625, recall=0.7142857142857143, fmeasure=0.6666666666666666)}"
I can't see what's happening.,Tôi không thấy chuyện gì đang xảy ra .,tôi không thể thấy những gì đang xảy ra.,43.44371253135793,0.8148148148148148,0.7199999999999999,0.8148148148148148,0.78677398989899,"{'rouge1': Score(precision=0.8461538461538461, recall=0.7857142857142857, fmeasure=0.8148148148148148), 'rouge2': Score(precision=0.75, recall=0.6923076923076923, fmeasure=0.7199999999999999), 'rougeL': Score(precision=0.8461538461538461, recall=0.7857142857142857, fmeasure=0.8148148148148148)}"
We had a plan,Chúng tôi đã có một kế hoạch .,chúng tôi đã có một kế hoạch,68.037493331712,1.0,1.0,1.0,0.9844782983615982,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
That's ridiculous.,Thật nực cười .,thật nực cười,31.947155212313625,1.0,1.0,1.0,0.9498207885304659,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
I'll take care of my parents when they get old.,Tôi sẽ chăm sóc bố mẹ khi họ già đi .,Tôi sẽ chăm sóc cha mẹ khi họ già đi.,70.16879391277372,0.9230769230769231,0.8333333333333334,0.9230769230769231,0.9054545454545455,"{'rouge1': Score(precision=0.9230769230769231, recall=0.9230769230769231, fmeasure=0.9230769230769231), 'rouge2': Score(precision=0.8333333333333334, recall=0.8333333333333334, fmeasure=0.8333333333333334), 'rougeL': Score(precision=0.9230769230769231, recall=0.9230769230769231, fmeasure=0.9230769230769231)}"
How many people do you think have an ear for music?,Bạn nghĩ bao nhiêu người thích âm nhạc ?,bạn nghĩ có bao nhiêu người nghe nhạc?,23.356898886410015,0.8,0.6086956521739131,0.8,0.7471655328798186,"{'rouge1': Score(precision=0.7692307692307693, recall=0.8333333333333334, fmeasure=0.8), 'rouge2': Score(precision=0.5833333333333334, recall=0.6363636363636364, fmeasure=0.6086956521739131), 'rougeL': Score(precision=0.7692307692307693, recall=0.8333333333333334, fmeasure=0.8)}"
When was the last time you answered the phone?,Lần cuối cùng bạn trả lời điện thoại là khi nào ?,Lần cuối bạn trả lời điện thoại là khi nào?,76.91605673134588,0.9444444444444444,0.8823529411764706,0.9444444444444444,0.9880128061946244,"{'rouge1': Score(precision=0.8947368421052632, recall=1.0, fmeasure=0.9444444444444444), 'rouge2': Score(precision=0.8333333333333334, recall=0.9375, fmeasure=0.8823529411764706), 'rougeL': Score(precision=0.8947368421052632, recall=1.0, fmeasure=0.9444444444444444)}"
I had my money stolen in the park.,Tôi bị trộm tiền trong công viên .,tôi đã bị đánh cắp tiền trong công viên.,42.13952948452608,0.8,0.6956521739130435,0.8,0.6861724281549355,"{'rouge1': Score(precision=0.8333333333333334, recall=0.7692307692307693, fmeasure=0.8), 'rouge2': Score(precision=0.7272727272727273, recall=0.6666666666666666, fmeasure=0.6956521739130435), 'rougeL': Score(precision=0.8333333333333334, recall=0.7692307692307693, fmeasure=0.8)}"
We're not going to hurt you,Chúng tôi sẽ không làm hại bạn,chúng tôi sẽ không làm tổn thương bạn,37.68499164492418,0.7857142857142856,0.6923076923076924,0.7857142857142856,0.7454289732770746,"{'rouge1': Score(precision=0.8461538461538461, recall=0.7333333333333333, fmeasure=0.7857142857142856), 'rouge2': Score(precision=0.75, recall=0.6428571428571429, fmeasure=0.6923076923076924), 'rougeL': Score(precision=0.8461538461538461, recall=0.7333333333333333, fmeasure=0.7857142857142856)}"
Bring it here.,Mang nó lại đây .,mang nó tới đây.,23.643540225079384,0.8000000000000002,0.5,0.8000000000000002,0.7500000000000001,"{'rouge1': Score(precision=0.8, recall=0.8, fmeasure=0.8000000000000002), 'rouge2': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rougeL': Score(precision=0.8, recall=0.8, fmeasure=0.8000000000000002)}"
Dinosaurs used to rule the earth,Khủng long từng thống trị trái đất,khủng long dùng để cai trị trái đất,22.772101321113862,0.761904761904762,0.5263157894736842,0.761904761904762,0.6126582278481013,"{'rouge1': Score(precision=0.7272727272727273, recall=0.8, fmeasure=0.761904761904762), 'rouge2': Score(precision=0.5, recall=0.5555555555555556, fmeasure=0.5263157894736842), 'rougeL': Score(precision=0.7272727272727273, recall=0.8, fmeasure=0.761904761904762)}"
I don't want to hear another peep out of you!,Tôi không muốn nghe thêm một lời nào nữa từ bạn !,tôi không muốn nghe một cái nhìn khác từ bạn!,22.03359678996931,0.7368421052631577,0.5,0.7368421052631577,0.7017173423423423,"{'rouge1': Score(precision=0.7, recall=0.7777777777777778, fmeasure=0.7368421052631577), 'rouge2': Score(precision=0.47368421052631576, recall=0.5294117647058824, fmeasure=0.5), 'rougeL': Score(precision=0.7, recall=0.7777777777777778, fmeasure=0.7368421052631577)}"
Tom hasn't seen Mary for a long time.,Tom đã không gặp Mary trong một thời gian dài .,Tom đã không thấy mary trong một thời gian dài.,58.77283725105324,0.8571428571428571,0.7692307692307693,0.8571428571428571,0.9054545454545455,"{'rouge1': Score(precision=0.8571428571428571, recall=0.8571428571428571, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.7692307692307693, recall=0.7692307692307693, fmeasure=0.7692307692307693), 'rougeL': Score(precision=0.8571428571428571, recall=0.8571428571428571, fmeasure=0.8571428571428571)}"
Can you tell me where Tom went?,Anh có thể cho tôi biết Tom đã đi đâu không ?,bạn có thể cho tôi biết tom đã đi đâu không?,63.40466277046863,0.888888888888889,0.8799999999999999,0.888888888888889,0.9163223140495868,"{'rouge1': Score(precision=0.9230769230769231, recall=0.8571428571428571, fmeasure=0.888888888888889), 'rouge2': Score(precision=0.9166666666666666, recall=0.8461538461538461, fmeasure=0.8799999999999999), 'rougeL': Score(precision=0.9230769230769231, recall=0.8571428571428571, fmeasure=0.888888888888889)}"
They will boycott that product,Họ sẽ tẩy chay sản phẩm đó .,họ sẽ tẩy chay sản phẩm đó,68.037493331712,1.0,1.0,1.0,0.9844782983615982,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
I'm not that kind of guy,Tôi không phải loại người đó .,tôi không phải là người như vậy,14.535768424205482,0.7272727272727272,0.6,0.7272727272727272,0.5357142857142857,"{'rouge1': Score(precision=0.8, recall=0.6666666666666666, fmeasure=0.7272727272727272), 'rouge2': Score(precision=0.6666666666666666, recall=0.5454545454545454, fmeasure=0.6), 'rougeL': Score(precision=0.8, recall=0.6666666666666666, fmeasure=0.7272727272727272)}"
I have to say goodbye to a few people.,Tôi phải chào tạm biệt một vài người .,tôi phải nói lời tạm biệt với một vài người,20.90067144241745,0.7777777777777777,0.6470588235294117,0.7777777777777777,0.6792413935271077,"{'rouge1': Score(precision=0.875, recall=0.7, fmeasure=0.7777777777777777), 'rouge2': Score(precision=0.7333333333333333, recall=0.5789473684210527, fmeasure=0.6470588235294117), 'rougeL': Score(precision=0.875, recall=0.7, fmeasure=0.7777777777777777)}"
You're not going find Tom,Bạn sẽ không tìm thấy Tom .,bạn sẽ không tìm thấy tom,41.11336169005198,1.0,1.0,1.0,0.981329690346084,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
He got accustomed to the new way of living.,Anh ấy đã quen với cách sống mới .,anh đã quen với cách sống mới.,72.59795291154772,0.9523809523809523,0.8421052631578948,0.9523809523809523,0.9799382716049383,"{'rouge1': Score(precision=0.9090909090909091, recall=1.0, fmeasure=0.9523809523809523), 'rouge2': Score(precision=0.8, recall=0.8888888888888888, fmeasure=0.8421052631578948), 'rougeL': Score(precision=0.9090909090909091, recall=1.0, fmeasure=0.9523809523809523)}"
I think you know I like you a lot,Tôi nghĩ bạn biết tôi rất thích bạn,tôi nghĩ bạn biết tôi thích bạn rất nhiều,37.70794596593207,0.9375,0.7999999999999999,0.8125,0.8751755617977527,"{'rouge1': Score(precision=1.0, recall=0.8823529411764706, fmeasure=0.9375), 'rouge2': Score(precision=0.8571428571428571, recall=0.75, fmeasure=0.7999999999999999), 'rougeL': Score(precision=0.8666666666666667, recall=0.7647058823529411, fmeasure=0.8125)}"
I can't go now. I have work to do,Bây giờ tôi không thể đi . Tôi có việc phải làm .,tôi không thể đi bây giờ tôi có việc phải làm,41.397900200299425,1.0,0.9411764705882353,0.8333333333333334,0.9721812278630461,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=0.9411764705882353, recall=0.9411764705882353, fmeasure=0.9411764705882353), 'rougeL': Score(precision=0.8333333333333334, recall=0.8333333333333334, fmeasure=0.8333333333333334)}"
"Leave us alone, please.","Xin hãy để chúng tôi yên , làm ơn .",để chúng tôi yên,26.269098944241588,0.6666666666666666,0.625,0.6666666666666666,0.8627717391304348,"{'rouge1': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.45454545454545453, recall=1.0, fmeasure=0.625), 'rougeL': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666)}"
I just couldn't take it anymore.,Tôi không thể chịu đựng được nữa .,tôi không thể chịu đựng được nữa.,84.08964152537145,1.0,1.0,1.0,0.9990234375,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
He is curious about everything,Anh ta tò mò về tất cả mọi thứ .,anh ấy tò mò về mọi thứ,19.64073254502565,0.7368421052631579,0.47058823529411764,0.7368421052631579,0.7705479452054794,"{'rouge1': Score(precision=0.6363636363636364, recall=0.875, fmeasure=0.7368421052631579), 'rouge2': Score(precision=0.4, recall=0.5714285714285714, fmeasure=0.47058823529411764), 'rougeL': Score(precision=0.6363636363636364, recall=0.875, fmeasure=0.7368421052631579)}"
You and he have to do the job,Bạn và anh ta phải làm công việc này,bạn và anh ấy phải làm việc,14.25876976452075,0.846153846153846,0.5833333333333334,0.7692307692307692,0.7812499999999999,"{'rouge1': Score(precision=0.7333333333333333, recall=1.0, fmeasure=0.846153846153846), 'rouge2': Score(precision=0.5, recall=0.7, fmeasure=0.5833333333333334), 'rougeL': Score(precision=0.6666666666666666, recall=0.9090909090909091, fmeasure=0.7692307692307692)}"
You're a funny guy.,Anh là một anh chàng vui tính .,bạn là một chàng trai vui tính,16.515821590069027,0.761904761904762,0.5263157894736842,0.761904761904762,0.6281690140845071,"{'rouge1': Score(precision=0.8, recall=0.7272727272727273, fmeasure=0.761904761904762), 'rouge2': Score(precision=0.5555555555555556, recall=0.5, fmeasure=0.5263157894736842), 'rougeL': Score(precision=0.8, recall=0.7272727272727273, fmeasure=0.761904761904762)}"
Tom has already decided who to go with.,Tom đã quyết định nên đi với ai rồi .,tom đã quyết định đi với ai,26.269098944241577,0.8,0.6666666666666665,0.8,0.9477215543751747,"{'rouge1': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rouge2': Score(precision=0.5454545454545454, recall=0.8571428571428571, fmeasure=0.6666666666666665), 'rougeL': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8)}"
He got thrown out of the house,Anh ta bị ném ra khỏi nhà .,anh ấy đã bị ném ra khỏi nhà,51.697315395717055,0.8888888888888888,0.75,0.8888888888888888,0.7361111111111112,"{'rouge1': Score(precision=0.8888888888888888, recall=0.8888888888888888, fmeasure=0.8888888888888888), 'rouge2': Score(precision=0.75, recall=0.75, fmeasure=0.75), 'rougeL': Score(precision=0.8888888888888888, recall=0.8888888888888888, fmeasure=0.8888888888888888)}"
What does Tom want to say to Mary?,Tom muốn nói gì với Mary ?,Tom muốn nói gì với mary?,64.34588841607616,1.0,1.0,1.0,0.9985422740524781,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
A known mistake is better than an unknown truth.,Một sai lầm được biết đến tốt hơn là một sự thật chưa được biết đến .,một sai lầm được biết là tốt hơn so với một sự thật chưa biết.,33.59973059005528,0.88,0.7083333333333334,0.8399999999999999,0.7884395994422613,"{'rouge1': Score(precision=0.88, recall=0.88, fmeasure=0.88), 'rouge2': Score(precision=0.7083333333333334, recall=0.7083333333333334, fmeasure=0.7083333333333334), 'rougeL': Score(precision=0.84, recall=0.84, fmeasure=0.8399999999999999)}"
I'll never forget Tom's face,Tôi sẽ không bao giờ quên khuôn mặt của Tom,tôi sẽ không bao giờ quên khuôn mặt của tom,75.98356856515926,1.0,1.0,1.0,0.9995,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
I don't know where I'm going.,Tôi không biết mình sẽ đi đâu .,tôi không biết mình sẽ đi đâu.,84.08964152537145,1.0,1.0,1.0,0.9990234375,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
Look alive.,Hãy sống động lên .,nhìn còn sống.,12.703318703865365,0.4615384615384615,0.1818181818181818,0.30769230769230765,0.24390243902439024,"{'rouge1': Score(precision=0.42857142857142855, recall=0.5, fmeasure=0.4615384615384615), 'rouge2': Score(precision=0.16666666666666666, recall=0.2, fmeasure=0.1818181818181818), 'rougeL': Score(precision=0.2857142857142857, recall=0.3333333333333333, fmeasure=0.30769230769230765)}"
They hold the same opinion on that subject.,Họ có cùng quan điểm về đề tài này .,họ giữ cùng quan điểm về chủ đề đó.,29.071536848410968,0.6666666666666666,0.5263157894736842,0.6666666666666666,0.6346938775510204,"{'rouge1': Score(precision=0.5833333333333334, recall=0.7777777777777778, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.45454545454545453, recall=0.625, fmeasure=0.5263157894736842), 'rougeL': Score(precision=0.5833333333333334, recall=0.7777777777777778, fmeasure=0.6666666666666666)}"
It was creepy,Điều đó thật đáng sợ .,nó thật đáng sợ,30.213753973567677,0.7272727272727272,0.6666666666666665,0.7272727272727272,0.701058201058201,"{'rouge1': Score(precision=0.6666666666666666, recall=0.8, fmeasure=0.7272727272727272), 'rouge2': Score(precision=0.6, recall=0.75, fmeasure=0.6666666666666665), 'rougeL': Score(precision=0.6666666666666666, recall=0.8, fmeasure=0.7272727272727272)}"
History is not his major subject.,Lịch sử không phải là chủ đề chính của ông .,lịch sử không phải là chủ đề chính của ông.,89.31539818068698,1.0,1.0,1.0,0.9996243425995492,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
Can you just keep an eye on Tom?,Anh có thể để mắt tới Tom được không ?,bạn có thể để mắt đến tom không?,31.239399369202552,0.6666666666666666,0.4210526315789474,0.6666666666666666,0.738954922628392,"{'rouge1': Score(precision=0.6363636363636364, recall=0.7, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.4, recall=0.4444444444444444, fmeasure=0.4210526315789474), 'rougeL': Score(precision=0.6363636363636364, recall=0.7, fmeasure=0.6666666666666666)}"
My daughter loves jumping rope,Con gái tôi thích nhảy dây,con gái tôi thích nhảy dây,75.98356856515926,1.0,1.0,1.0,0.9976851851851852,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
She told me her secret,Cô ấy kể cho tôi nghe bí mật của cô ấy .,cô ấy nói với tôi bí mật của cô ấy,34.48444257953326,0.7586206896551724,0.5925925925925927,0.7586206896551724,0.7636335784313727,"{'rouge1': Score(precision=0.7857142857142857, recall=0.7333333333333333, fmeasure=0.7586206896551724), 'rouge2': Score(precision=0.6153846153846154, recall=0.5714285714285714, fmeasure=0.5925925925925927), 'rougeL': Score(precision=0.7857142857142857, recall=0.7333333333333333, fmeasure=0.7586206896551724)}"
"If you trespass on his property, he'll sic his dogs on you.","Nếu bạn xâm phạm tài sản của ông ta , ông ta sẽ cho chó của ông ta vào người bạn .","nếu bạn xâm phạm tài sản của anh ta, anh ta sẽ sic chó của anh ta trên bạn.",30.993624036661302,0.7666666666666667,0.5862068965517241,0.7666666666666667,0.7382997630331755,"{'rouge1': Score(precision=0.7419354838709677, recall=0.7931034482758621, fmeasure=0.7666666666666667), 'rouge2': Score(precision=0.5666666666666667, recall=0.6071428571428571, fmeasure=0.5862068965517241), 'rougeL': Score(precision=0.7419354838709677, recall=0.7931034482758621, fmeasure=0.7666666666666667)}"
Tom thinks it will rain tomorrow,Tom nghĩ ngày mai trời sẽ mưa .,Tom nghĩ trời sẽ mưa vào ngày mai,30.2137539735677,0.9090909090909091,0.7000000000000001,0.6363636363636365,0.840561224489796,"{'rouge1': Score(precision=1.0, recall=0.8333333333333334, fmeasure=0.9090909090909091), 'rouge2': Score(precision=0.7777777777777778, recall=0.6363636363636364, fmeasure=0.7000000000000001), 'rougeL': Score(precision=0.7, recall=0.5833333333333334, fmeasure=0.6363636363636365)}"
I'll take you up on your offer,Tôi sẽ chấp nhận đề nghị của anh .,tôi sẽ đưa bạn lên về lời đề nghị của bạn,15.270725349716185,0.5185185185185185,0.32,0.5185185185185185,0.4481481481481482,"{'rouge1': Score(precision=0.6363636363636364, recall=0.4375, fmeasure=0.5185185185185185), 'rouge2': Score(precision=0.4, recall=0.26666666666666666, fmeasure=0.32), 'rougeL': Score(precision=0.6363636363636364, recall=0.4375, fmeasure=0.5185185185185185)}"
I've seen what happens when you don't follow the rules,Tôi đã thấy chuyện gì xảy ra khi bạn không tuân thủ luật lệ .,Tôi đã thấy những gì xảy ra khi bạn không tuân theo các quy tắc,49.202745153855076,0.7272727272727272,0.6190476190476191,0.7272727272727272,0.6639999999999999,"{'rouge1': Score(precision=0.7619047619047619, recall=0.6956521739130435, fmeasure=0.7272727272727272), 'rouge2': Score(precision=0.65, recall=0.5909090909090909, fmeasure=0.6190476190476191), 'rougeL': Score(precision=0.7619047619047619, recall=0.6956521739130435, fmeasure=0.7272727272727272)}"
Everything makes sense now,Mọi thứ đều có ý nghĩa,bây giờ mọi thứ đều có ý nghĩa,54.44460596606694,0.8235294117647058,0.8,0.8235294117647058,0.7674501424501425,"{'rouge1': Score(precision=1.0, recall=0.7, fmeasure=0.8235294117647058), 'rouge2': Score(precision=1.0, recall=0.6666666666666666, fmeasure=0.8), 'rougeL': Score(precision=1.0, recall=0.7, fmeasure=0.8235294117647058)}"
It's really gross.,Nó thật sự kinh khủng .,nó thực sự rất thô thiển.,8.170609724417774,0.5,0.14285714285714288,0.375,0.21739130434782605,"{'rouge1': Score(precision=0.5714285714285714, recall=0.4444444444444444, fmeasure=0.5), 'rouge2': Score(precision=0.16666666666666666, recall=0.125, fmeasure=0.14285714285714288), 'rougeL': Score(precision=0.42857142857142855, recall=0.3333333333333333, fmeasure=0.375)}"
Why are you telling us this?,Tại sao anh lại nói với chúng tôi điều này ?,tại sao bạn nói với chúng tôi điều này?,59.00468726392806,0.8571428571428571,0.787878787878788,0.8571428571428571,0.8861997310842195,"{'rouge1': Score(precision=0.8333333333333334, recall=0.8823529411764706, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.7647058823529411, recall=0.8125, fmeasure=0.787878787878788), 'rougeL': Score(precision=0.8333333333333334, recall=0.8823529411764706, fmeasure=0.8571428571428571)}"
She liked talking about herself.,Cô ấy thích nói về bản thân mình .,cô thích nói về bản thân mình,58.73949094699213,0.9600000000000001,0.8695652173913043,0.9600000000000001,0.9608843537414966,"{'rouge1': Score(precision=0.9230769230769231, recall=1.0, fmeasure=0.9600000000000001), 'rouge2': Score(precision=0.8333333333333334, recall=0.9090909090909091, fmeasure=0.8695652173913043), 'rougeL': Score(precision=0.9230769230769231, recall=1.0, fmeasure=0.9600000000000001)}"
Tom didn't get on the plane.,Tom đã không lên máy bay .,Tom đã không lên máy bay.,100.00000000000004,1.0,1.0,1.0,0.9985422740524781,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
She started dancing when she was eight.,Cô ấy bắt đầu nhảy khi lên tám .,cô ấy bắt đầu nhảy khi tám tuổi.,48.54917717073236,0.8333333333333334,0.7272727272727273,0.8333333333333334,0.8654513888888888,"{'rouge1': Score(precision=0.8333333333333334, recall=0.8333333333333334, fmeasure=0.8333333333333334), 'rouge2': Score(precision=0.7272727272727273, recall=0.7272727272727273, fmeasure=0.7272727272727273), 'rougeL': Score(precision=0.8333333333333334, recall=0.8333333333333334, fmeasure=0.8333333333333334)}"
Are you sure you don't have enough money to buy that?,Bạn có chắc là bạn không có đủ tiền để mua nó ?,bạn có chắc là bạn không có đủ tiền để mua nó không?,77.99950505759813,0.9375,0.9333333333333333,0.9375,0.9216295602571196,"{'rouge1': Score(precision=1.0, recall=0.8823529411764706, fmeasure=0.9375), 'rouge2': Score(precision=1.0, recall=0.875, fmeasure=0.9333333333333333), 'rougeL': Score(precision=1.0, recall=0.8823529411764706, fmeasure=0.9375)}"
